stage,folder,type,current_name,new_name,note
1 textures,Content/Oxi/Characters/HiddenHand/Chironex/Materials,Texture2D,EyeMorph_T,T_EyeMorph,
1 textures,Content/Oxi/Characters/HiddenHand/Chironex/Materials,Texture2D,Eye_T,T_Eye,
1 textures,Content/Oxi/Characters/HiddenHand/Chironex/Materials,Texture2D,SentryPupil_T,T_SentryPupil,
1 textures,Content/Oxi/Characters/HiddenHand/Soldier1/Materials,Texture2D,HH_Soldier1_Armor_T,T_HH_Soldier1_Armor,
1 textures,Content/Oxi/Characters/HiddenHand/Soldier1/Materials,Texture2D,HH_Soldier1_Body_T,T_HH_Soldier1_Body,
1 textures,Content/Oxi/Characters/HiddenHand/Soldier1/Materials,Texture2D,HH_Soldier1_HandsBoots_T,T_HH_Soldier1_HandsBoots,
1 textures,Content/Oxi/Characters/HiddenHand/Soldier1/Materials,Texture2D,HH_Soldier1_Head_Emissive,T_HH_Soldier1_Head_Emissive,
1 textures,Content/Oxi/Characters/HiddenHand/Soldier1/Materials,Texture2D,HH_Soldier1_Head_T,T_HH_Soldier1_Head,
1 textures,Content/Oxi/Characters/Human/IcePickBase/Base,Texture2D,IcePickBaseEye_T,T_IcePickBaseEye,
1 textures,Content/Oxi/Characters/Human/IcePickBase/Base,Texture2D,IcePickBaseFace_T,T_IcePickBaseFace,
1 textures,Content/Oxi/Characters/Human/IcePickBase/Base,Texture2D,IcePickBaseHair_T,T_IcePickBaseHair,
1 textures,Content/Oxi/Characters/Human/IcePickBase/Base,Texture2D,IcePickBaseJacket_N,T_IcePickBaseJacket_N,
1 textures,Content/Oxi/Characters/Human/IcePickBase/Base,Texture2D,IcePickBaseJacket_T,T_IcePickBaseJacket,
1 textures,Content/Oxi/Characters/Human/IcePickBase/Base,Texture2D,IcePickBase_Body_T,T_IcePickBase_Body,
1 textures,Content/Oxi/Characters/Human/IcePickBase/Base,Texture2D,IcePickBase_Pants_T,T_IcePickBase_Pants,
1 textures,Content/Oxi/Characters/Human/IcePickBase/FirstPerson/Materials,Texture2D,IcePickHandsFX_T,T_IcePickHandsFX,
1 textures,Content/Oxi/Characters/Human/IcePickBase/FirstPerson/Materials,Texture2D,IcePickHands_T,T_IcePickHands,
1 textures,Content/Oxi/Characters/Human/IcePickBase/FirstPerson/Materials,Texture2D,OxiPulse,T_OxiPulse,
1 textures,Content/Oxi/Characters/Human/IcePickBase/FirstPerson/NeedleSlam,Texture2D,Circuits_Vignette_Tex,T_Circuits_Vignette,
1 textures,Content/Oxi/Core/Textures/Colors,Texture2D,Black,T_Black,
1 textures,Content/Oxi/Core/Textures/Colors,Texture2D,Gray,T_Gray,
1 textures,Content/Oxi/Core/Textures/Colors,Texture2D,white,T_white,
1 textures,Content/Oxi/Environment,Texture2D,DefaultNormal,T_DefaultNormal,
1 textures,Content/Oxi/Environment/Destructibles/Barrels,Texture2D,DestructibleBarrelDamaged_1_T,T_DestructibleBarrelDamaged_1,
1 textures,Content/Oxi/Environment/Destructibles/Barrels,Texture2D,DestructibleBarrel_1_T,T_DestructibleBarrel_1,
1 textures,Content/Oxi/Environment/Destructibles/Crates/Crate1,Texture2D,Crate1_TexColor,T_Crate1_TexColor,
1 textures,Content/Oxi/Environment/Destructibles/Pillars/Subway,Texture2D,ConcreteInterior_Normal,T_ConcreteInterior_Normal,
1 textures,Content/Oxi/Environment/Destructibles/Pillars/Subway,Texture2D,ConcreteInterior_Tex,T_ConcreteInterior,
1 textures,Content/Oxi/Environment/Destructibles/Pillars/Subway,Texture2D,SubwayPillar1_Skel_Normal,T_SubwayPillar1_Skel_Normal,
1 textures,Content/Oxi/Environment/Destructibles/Pillars/Subway,Texture2D,SubwayPillar_AO,T_SubwayPillar_AO,
1 textures,Content/Oxi/Environment/Destructibles/Pillars/Subway,Texture2D,SubwayPillar_Albedo,T_SubwayPillar_Albedo,
1 textures,Content/Oxi/Environment/Destructibles/Pillars/Subway,Texture2D,SubwayPillar_Normal,T_SubwayPillar_Normal,
